Product ID,Product Name,Launch Date,Logic Elements (LE),Digital Signal Processing (DSP) Blocks,Maximum Embedded Memory,Maximum User I/O Count†,Package Options
236583,Intel Agilex® 7 FPGA F-Series 006  (R24D),Q2'19,573480,1640,62 Mb,576,R2340A
234152,Intel Agilex® 7 FPGA F-Series 008  (R24D),Q2'19,764640,2296,82 Mb,576,R2340A
236754,Intel Agilex® 7 FPGA F-Series 012  (R24D),Q2'19,1178525,3743,163 Mb,744,R2340A
231542,Intel Agilex® 7 FPGA F-Series 014  (R24D),Q2'19,1437240,4510,190 Mb,744,R2340A
235510,Intel Agilex® 7 FPGA F-Series 019  (R24C),Q2'21,1918975,1354,204 Mb,480,R2340A
233121,Intel Agilex® 7 FPGA F-Series 019  (R31C),Q2'21,1918975,1354,204 Mb,480,R3184C
230322,Intel Agilex® 7 FPGA F-Series 023  (R24C),Q2'21,2308080,1640,246 Mb,480,R2340A
231252,Intel Agilex® 7 FPGA F-Series 023  (R31C),Q2'21,2308080,1640,246 Mb,480,R3184C
230810,Intel Agilex® 7 FPGA F-Series 006  (R16A),Q2'19,573480,1640,62 Mb,384,R1546A
230811,Intel Agilex® 7 FPGA F-Series 008  (R16A),Q2'19,764640,2296,82 Mb,384,R1546A
230141,Intel Agilex® 7 FPGA F-Series 006  (R24C),Q2'19,573480,1640,62 Mb,576,R2340A
229535,Intel Agilex® 7 FPGA F-Series 008  (R24C),Q2'19,764640,2296,82 Mb,576,R2340A
229536,Intel Agilex® 7 FPGA F-Series 022  (R24C),Q2'19,2208075,6250,235 Mb,744,R2340A
228837,Intel Agilex® 7 FPGA F-Series 022  (R31C),Q2'19,2208075,6250,235 Mb,720,R3184C
228838,Intel Agilex® 7 FPGA F-Series 027  (R31C),Q2'19,2692760,8528,287 Mb,720,R3184C
228517,Intel Agilex® 7 FPGA F-Series 012  (R24C),Q2'19,1178525,3743,163 Mb,744,R2340A
228518,Intel Agilex® 7 FPGA F-Series 014  (R24C),Q2'19,1437240,4510,190 Mb,744,R2340A
228334,Intel Agilex® 7 FPGA F-Series 019  (R25A),Q2'19,1918975,1354,204 Mb,480,R2581A
225389,Intel Agilex® 7 FPGA F-Series 023  (R25A),Q2'19,2308080,1640,246 Mb,480,R2581A
218293,Intel Agilex® 7 FPGA F-Series 022  (R25A),Q2'19,2208075,6250,235 Mb,624,R2581A
223273,Intel Agilex® 7 FPGA F-Series 027  (R24C),Q2'19,2692760,8528,287 Mb,744,R2340A
217645,Intel Agilex® 7 FPGA F-Series 014  (R24B),Q2'19,1437240,4510,190 Mb,768,R2486A
217165,Intel Agilex® 7 FPGA F-Series 012  (R24B),Q2'19,1178525,3743,163 Mb,768,R2486A
208599,Intel Agilex® 7 FPGA F-Series 027  (R25A),Q2'19,2692760,8528,287 Mb,624,R2581A
