Product ID,Product Name,Launch Date,Logic Elements (LE),Digital Signal Processing (DSP) Blocks,Maximum Embedded Memory,Maximum User I/O Count†,Package Options
241640,Intel Agilex® 7 FPGA I-Series 041  (R31E),Q1'23,4000672,0,413 Mb,744,R3184E
236250,Intel Agilex® 7 FPGA I-Series 041  (R31B),Q1'23,4000672,0,413 Mb,732,R3184B
235275,Intel Agilex® 7 FPGA I-Series 022  (R29A),Q2'19,2208075,6250,235 Mb,720,R2957A
233477,Intel Agilex® 7 FPGA I-Series 041  (R29D),Q1'23,4000672,0,413 Mb,720,R2957D
233837,Intel Agilex® 7 FPGA I-Series 035  (R39A),Q4'21,3540000,9594,383 Mb,576,R3948A
233122,Intel Agilex® 7 FPGA I-Series 019  (R31B),Q2'21,1918975,1354,204 Mb,480,R3184B
233278,Intel Agilex® 7 FPGA I-Series 022  (R31A),Q2'19,2208075,6250,235 Mb,720,R3184A
233123,Intel Agilex® 7 FPGA I-Series 023  (R31B),Q2'21,2308080,1640,246 Mb,480,R3184B
233277,Intel Agilex® 7 FPGA I-Series 027  (R31A),Q2'19,2692760,8528,287 Mb,720,R3184A
230809,Intel Agilex® 7 FPGA I-Series 019  (R18A),Q2'21,1918975,1354,204 Mb,480,R1805A
228519,Intel Agilex® 7 FPGA I-Series 040  (R39A),Q4'21,4047400,12792,485 Mb,576,R3948A
229162,Intel Agilex® 7 FPGA I-Series 023  (R18A),Q2'21,2308080,1640,246 Mb,480,R1805A
228839,Intel Agilex® 7 FPGA I-Series 022  (R31B),Q2'19,2208075,6250,235 Mb,720,R3184B
217737,Intel Agilex® 7 FPGA I-Series 027  (R31B),Q2'19,2692760,8528,287 Mb,720,R3184B
210676,Intel Agilex® 7 FPGA I-Series 027  (R29A),Q2'19,2692760,8528,287 Mb,720,R2957A
