Section,Key,Value
Essentials,Product Collection,Rail Options
Essentials,Marketing Status,Discontinued
Essentials,Launch Date,Q2'06
Essentials,Expected Discontinuance,2012
Essentials,Included Items,(1) Set Fixed mounting brackets
Supplemental Information,Description,Fixed Mount Brackets
