Product ID,Product Name,Launch Date,Logic Elements (LE),Digital Signal Processing (DSP) Blocks,Maximum Embedded Memory,Maximum User I/O Count†,Package Options
243687,Intel Agilex® 5 FPGA E-Series 005B  (B18A),Q3'22,50445,65,3.06 Mb,208,B18A
242547,Intel Agilex® 5 FPGA E-Series 043A  (B23A),Q3'22,434240,564,24.61 Mb,216,B23A
242541,Intel Agilex® 5 FPGA E-Series 043A  (B32A),Q3'22,434240,564,24.61 Mb,504,B32A
242542,Intel Agilex® 5 FPGA E-Series 043B  (B23A),Q3'22,434240,564,24.61 Mb,216,B23A
242546,Intel Agilex® 5 FPGA E-Series 043B  (B32A),Q3'22,434240,564,24.61 Mb,504,B32A
242544,Intel Agilex® 5 FPGA E-Series 052A  (B23A),Q3'22,523920,676,30.31 Mb,216,B23A
242545,Intel Agilex® 5 FPGA E-Series 052A  (B32A),Q3'22,523920,676,30.31 Mb,504,B32A
242543,Intel Agilex® 5 FPGA E-Series 052B  (B23A),Q3'22,523920,676,30.31 Mb,216,B23A
242540,Intel Agilex® 5 FPGA E-Series 052B  (B32A),Q3'22,523920,676,30.31 Mb,504,B32A
241145,Intel Agilex® 5 FPGA E-Series 008B  (B23A),Q3'22,85196,116,5.56 Mb,216,B23A
241583,Intel Agilex® 5 FPGA E-Series 008B  (B23B),Q3'22,85196,116,5.56 Mb,352,B23B
241148,Intel Agilex® 5 FPGA E-Series 008B  (B32A),Q3'22,85196,116,5.56 Mb,392,B32A
241147,Intel Agilex® 5 FPGA E-Series 008B  (M16A),Q3'22,85196,116,5.56 Mb,232,M16A
240424,Intel Agilex® 5 FPGA E-Series 013A  (B23A),Q3'22,138060,188,8.42 Mb,216,B23A
240426,Intel Agilex® 5 FPGA E-Series 013A  (B32A),Q3'22,138060,188,8.42 Mb,392,B32A
240407,Intel Agilex® 5 FPGA E-Series 013B  (B23A),Q3'22,138060,188,8.42 Mb,216,B23A
241582,Intel Agilex® 5 FPGA E-Series 013B  (B23B),Q3'22,138060,188,8.42 Mb,352,B23B
240408,Intel Agilex® 5 FPGA E-Series 013B  (B32A),Q3'22,138060,188,8.42 Mb,392,B32A
241146,Intel Agilex® 5 FPGA E-Series 013B  (M16A),Q3'22,138060,188,8.42 Mb,232,M16A
240317,Intel Agilex® 5 FPGA E-Series 065A  (B23A),Q3'22,656080,846,38.25 Mb,216,B23A
240316,Intel Agilex® 5 FPGA E-Series 065A  (B32A),Q3'22,656080,846,38.25 Mb,504,B32A
236414,Intel Agilex® 5 FPGA E-Series 065B  (B23A),Q3'22,656080,846,38.25 Mb,216,B23A
236315,Intel Agilex® 5 FPGA E-Series 065B  (B32A),Q3'22,656080,846,38.25 Mb,504,B32A
243685,Intel Agilex® 5 FPGA E-Series 005B  (B15A),Q3'22,50445,65,3.06 Mb,152,B15A
243686,Intel Agilex® 5 FPGA E-Series 005B  (B23B),Q3'22,50445,65,3.06 Mb,256,B23B
243689,Intel Agilex® 5 FPGA E-Series 007B  (B15A),Q3'22,69030,94,4.21 Mb,152,B15A
243690,Intel Agilex® 5 FPGA E-Series 007B  (B18A),Q3'22,69030,94,4.21 Mb,208,B18A
243688,Intel Agilex® 5 FPGA E-Series 007B  (B23B),Q3'22,69030,94,4.21 Mb,256,B23B
